,n,r,mode,target_dim,percent_recovered,avg # iters,avg time,intermediate dimension
0,8,3,TWOSTEP,484,75.0,704.2666666666667,15.832655861998598,64
1,8,3,TWOSTEP,484,67.0,711.5522388059702,17.464801227534885,62
2,8,3,TWOSTEP,484,74.0,724.6216216216217,16.897848620507364,60
3,8,3,TWOSTEP,484,63.0,748.3015873015873,18.08003263713585,58
4,8,3,TWOSTEP,484,70.0,752.6714285714286,16.47611253854952,56
5,8,3,TWOSTEP,484,60.0,770.0,17.688887141055115,54
6,8,3,TWOSTEP,484,54.0,816.5185185185185,16.933855096016217,52
7,8,3,TWOSTEP,484,49.0,800.204081632653,15.1968515317659,50
8,8,3,TWOSTEP,484,42.0,862.2857142857143,12.183164776081131,48
9,8,3,TWOSTEP,484,33.0,853.8484848484849,12.076092499223622,46
